,pv_net_cf
0,910.92066093366
1,1181.5470031411787
2,2026.1231145798447
3,375.14655549643993
4,237.69371658678472
5,-68.64660772552594
6,460.3485932068985
7,-482.509625841784
8,1789.835811942506
9,2314.5548223325563
10,2331.238166239895
11,149.6493945439836
12,3832.6273961137035
13,2112.315893218899
14,741.3784937106201
15,-151.67663192406616
16,199.94804690806706
17,1208.485186800204
18,3309.8036686405026
19,2111.3408242443265
20,3064.5819122391604
21,-46.00080527874991
22,6950.574973065241
23,834.164330455443
24,2286.4459395480003
25,1784.1677700045652
26,-231.99792969969707
27,9.347681784768156
28,215.69677381847703
29,1231.0084913115707
30,786.8015866896897
31,5032.300924208136
32,1861.7559675982677
33,4284.543893620036
34,1167.4572218089374
35,160.93010748420778
36,-200.10482000486047
37,7765.567974786104
38,3572.3720077208914
39,-121.64649888862334
40,437.39178450552106
41,-811.0007174034287
42,1607.671910878241
43,-140.21524798092008
44,2627.813122005565
45,-939.4861582253089
46,-557.782535919388
47,-82.70794300773821
48,106.81574452702677
49,406.1390650847594
50,360.6279333468724
51,2624.131718911166
52,265.92303106198415
53,-622.9681755658358
54,-705.5097713068798
55,187.10299742200812
56,-750.8307008403541
57,268.5334956577468
58,898.8417658763076
59,1169.6612398849409
60,4843.8642402371715
61,-230.94111626884103
62,735.2827273544333
63,3952.057036370914
64,-297.8009450828988
65,8481.693941934904
66,1756.589494046652
67,2383.1141992020307
68,1899.3454237569883
69,8738.087654982579
70,1342.1225072335928
71,-37.61100498743673
72,1.0492823965358298
73,968.6424613183863
74,180.5472981743152
75,9803.633692862772
76,3631.267867116302
77,21.449810101440676
78,745.8766838618881
79,-465.54648136485156
80,3684.6910296422548
81,-90.71670500499658
82,4089.756263525147
83,2747.5576141682127
84,509.1860029821354
85,-778.6490003306093
86,1984.0576060126914
87,323.6291766548135
88,-388.4055125420356
89,618.3664506465038
90,255.50240453344327
91,-263.3699825725339
92,5334.614376973373
93,90.25466489394512
94,1086.791341518168
95,568.927114329486
96,-411.7865682867056
97,-225.9778705423198
98,958.0473780212385
99,-369.3768067789001
100,1204.046226636494
101,-169.70397056205547
102,3346.4647307752093
103,-531.2487365523051
104,1145.282436298868
105,683.292264100234
106,-732.5860533705278
107,-744.4626706291805
108,726.6790831109595
109,1926.8713622970095
110,8398.928191224331
111,1470.5200177716217
112,1296.8531984459175
113,757.5899881348239
114,5390.449320775446
115,752.9176204517718
116,8031.238859568716
117,1866.6632497048615
118,675.9154205738761
119,940.2809607715001
120,617.4638621258484
121,757.9658249977836
122,-280.26222444004515
123,1657.6009899182236
124,8352.37880211325
125,-920.6679000381724
126,3418.719298495329
127,-819.9920747410632
128,-458.041979041544
129,433.32289250767803
130,-326.43079303318734
131,1509.8655356338409
132,142.433396967696
133,1357.8992824918619
134,-588.0425434517327
135,743.2466395506812
136,1919.2521789077941
137,898.3481209924851
138,-89.22642124362682
139,-511.20721155804137
140,-228.2506658333644
141,-346.5936581808553
142,1460.8356589903215
143,-613.1171075389627
144,-612.4486684364033
145,2701.1529205329116
146,-499.7868357409866
147,2735.244177851367
148,1200.7924134818484
149,622.7017173684101
150,1533.752943401078
151,790.1339101597731
152,415.3964383015607
153,168.4427025460069
154,827.4532673628224
155,-290.6603440183117
156,-15.923650823047126
157,745.3646277226412
158,5034.179667934801
159,-531.1193511831998
160,586.895389033592
161,180.34037023714086
162,5.921816182693021
163,288.9699810970408
164,5033.25312618862
165,-47.48899400278685
166,581.2826920170959
167,-287.7856925805884
168,942.2478369272899
169,-115.27953631407155
170,4297.808170529565
171,1018.2567538707335
172,363.1563120433249
173,1507.3319437406776
174,687.8319571448279
175,1884.5258006282702
176,4763.011953968011
177,87.336199316165
178,2299.369124638233
179,209.39159296887954
180,-235.86361183389937
181,-607.1097841048029
182,271.7838221180501
183,86.19481175843083
184,6196.593169116993
185,4569.680584827536
186,2746.5283188164703
187,4635.765567313638
188,5484.1759538433325
189,533.3284515920739
190,1247.334695747637
191,-815.661057144932
192,-357.69347523742255
193,391.1307520947312
194,2999.8110292211245
195,32.081125382242476
196,275.29803167685424
197,-62.858501947443074
198,633.8271076315315
199,1298.065065449281
200,-658.0896317955992
201,-100.27147997764564
202,-224.8882259068901
203,-48.445552700446626
204,3240.7906263991267
205,-309.0427125935317
206,1491.9549971213692
207,-813.7291845945439
208,1898.5854606474988
209,453.6889527775729
210,591.7121464904948
211,2687.1380191103626
212,-276.5763431787262
213,-621.8464990866405
214,-75.59377045168316
215,1699.359837671368
216,-203.39660086379985
217,901.2490890834506
218,-733.8050702856455
219,1256.8438379139252
220,151.87824768208839
221,900.0885210210732
222,501.8045113722284
223,3153.9276109591106
224,-585.4726105081508
225,12151.455541930049
226,3579.5928907716943
227,-440.8172027385723
228,-722.5374458285849
229,-398.55291303125165
230,2730.711296724422
231,2542.558459366146
232,9567.390888025766
233,106.38954131829223
234,2787.621216917647
235,3545.7068513159265
236,-671.4899508817721
237,2571.24335807857
238,687.3789230471667
239,-654.9156785252891
240,3012.540699716316
241,-291.76410161373065
242,1678.2855173026605
243,2618.712443110242
244,4644.066064228507
245,576.7509571749438
246,4738.706429606475
247,-564.667960912529
248,-3.2376916058863117
249,361.7090841813856
250,-88.80759234210211
251,273.367649643178
252,533.5469206396135
253,10003.883246069481
254,-119.05182894800726
255,-613.5906102049366
256,-578.647877462858
257,-343.4385762975234
258,12702.8274656787
259,1974.6624824056282
260,3237.806372594752
261,976.533912078294
262,-422.6476488450396
263,3764.881793261523
264,9248.492993921518
265,1375.2829493257886
266,-430.45135011138075
267,-36.99257257798013
268,-163.26887099082217
269,2700.2833790044733
270,908.7252003141181
271,-94.52087821362517
272,485.60834621870515
273,7650.115434591975
274,2090.967973798446
275,-198.5278426910948
276,-174.928867511875
277,-404.8762897576606
278,-187.6228512462223
279,2079.9638051901193
280,3488.5999912850716
281,-731.8767297101057
282,632.8781671303447
283,-379.06730252917816
284,2082.586304368749
285,12934.132549502654
286,620.1487088521077
287,2753.6828299842005
288,-238.4955827003929
289,296.2085342196185
290,2656.1146261974545
291,-717.4014669353775
292,1761.8770666848282
293,689.7478016799347
294,1442.4366834935477
295,-378.3487760935551
296,1924.3074046474799
297,127.28452330683433
298,54.73360537335145
299,11554.057298990767
300,5968.3186914393045
301,4807.770122208135
302,2348.7938255980234
303,303.49334676892965
304,-53.754595281744514
305,-716.9035906366709
306,-367.0507036349353
307,157.80534883486496
308,-155.66807693670455
309,-434.4189953370714
310,-549.556448182761
311,-451.94277941062586
312,-174.49370549570784
313,528.690848239334
314,1845.5559826522767
315,1054.332291421919
316,1590.3973487434337
317,-138.24590080917284
318,612.8559238597975
319,6773.884471859308
320,297.82027410875264
321,-483.41024471247664
322,-674.963990737796
323,2467.617649517706
324,428.861654170788
325,2013.3522722915538
326,1719.6421244711826
327,2292.2898360556583
328,-28.930080280903724
329,-622.6534435968674
330,226.65828992405284
331,-243.23104029772963
332,-363.59022797285246
333,2242.1498891356987
334,3582.8701709049465
335,11571.309597414069
336,5224.227090173612
337,3902.5107474806664
338,7502.539170056817
339,9517.106575935375
340,-174.49716718607783
341,5024.174168861462
342,-664.3105649499806
343,995.5290970701974
344,197.94883853853798
345,-600.1716826230333
346,-50.29884601971122
