age_at_entry,policy_term,premium_rate
20,10,4.64098E-05
20,15,5.20142E-05
20,20,5.74162E-05
21,10,4.76585E-05
21,15,5.35875E-05
21,20,5.93505E-05
22,10,4.90033E-05
22,15,5.5281E-05
22,20,6.14333E-05
23,10,5.04508E-05
23,15,5.71035E-05
23,20,6.36762E-05
24,10,5.20084E-05
24,15,5.90648E-05
24,20,6.60919E-05
25,10,5.3684E-05
25,15,6.11755E-05
25,20,6.86944E-05
26,10,5.54865E-05
26,15,6.34472E-05
26,20,7.1499E-05
27,10,5.74253E-05
27,15,6.58928E-05
27,20,7.45225E-05
28,10,5.95111E-05
28,15,6.85262E-05
28,20,7.77835E-05
29,10,6.17553E-05
29,15,7.13631E-05
29,20,8.13024E-05
30,10,6.41705E-05
30,15,7.44202E-05
30,20,8.51018E-05
31,10,6.67706E-05
31,15,7.77164E-05
31,20,8.92064E-05
32,10,6.95708E-05
32,15,8.12721E-05
32,20,9.36438E-05
33,10,7.25879E-05
33,15,8.511E-05
33,20,9.84442E-05
34,10,7.58404E-05
34,15,8.92553E-05
34,20,0.000103641
35,10,7.93484E-05
35,15,9.37354E-05
35,20,0.000109272
36,10,8.31344E-05
36,15,9.85809E-05
36,20,0.000115378
37,10,8.7223E-05
37,15,0.000103826
37,20,0.000122004
38,10,9.16415E-05
38,15,0.000109507
38,20,0.000129201
39,10,9.642E-05
39,15,0.000115666
39,20,0.000137026
40,10,0.000101592
40,15,0.000122349
40,20,0.000145541
41,10,0.000107194
41,15,0.000129606
41,20,0.000154815
42,10,0.000113267
42,15,0.000137496
42,20,0.000164927
43,10,0.000119856
43,15,0.000146079
43,20,0.000175964
44,10,0.000127012
44,15,0.000155428
44,20,0.000188021
45,10,0.00013479
45,15,0.000165619
45,20,0.000201206
46,10,0.000143253
46,15,0.00017674
46,20,0.000215641
47,10,0.00015247
47,15,0.000188888
47,20,0.000231461
48,10,0.000162518
48,15,0.000202173
48,20,0.000248817
49,10,0.000173483
49,15,0.000216715
49,20,0.000267878
50,10,0.000185462
50,15,0.000232652
50,20,0.000288836
51,10,0.000198562
51,15,0.000250135
51,20,0.000311903
52,10,0.000212903
52,15,0.000269337
52,20,0.00033732
53,10,0.000228621
53,15,0.00029045
53,20,0.000365356
54,10,0.000245866
54,15,0.00031369
54,20,0.000396316
55,10,0.000264808
55,15,0.000339301
55,20,0.000430541
56,10,0.000285639
56,15,0.000367556
56,20,0.000468415
57,10,0.000308573
57,15,0.000398765
57,20,0.000510371
58,10,0.000333852
58,15,0.000433276
58,20,0.000556897
59,10,0.000361748
59,15,0.000471482
59,20,0.000608544
